,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,GDP per Score
0,7.632,1.305,1.592,0.874,0.681,0.202,0.393,0.17099056603773585
1,7.594,1.456,1.582,0.861,0.686,0.286,0.34,0.19173031340531999
2,7.555,1.351,1.59,0.868,0.683,0.284,0.408,0.17882197220383853
3,7.495,1.343,1.644,0.914,0.677,0.353,0.138,0.1791861240827218
4,7.487,1.42,1.549,0.927,0.66,0.256,0.357,0.1896620809402965
5,7.441,1.361,1.488,0.878,0.638,0.333,0.295,0.18290552345114905
6,7.328,1.33,1.532,0.896,0.653,0.321,0.291,0.18149563318777293
7,7.324,1.268,1.601,0.876,0.669,0.365,0.389,0.17312943746586565
8,7.314,1.355,1.501,0.913,0.659,0.285,0.383,0.18526114301339897
9,7.272,1.34,1.573,0.91,0.647,0.361,0.302,0.18426842684268427
10,7.19,1.244,1.433,0.888,0.464,0.262,0.082,0.17301808066759386
11,7.139,1.341,1.504,0.891,0.617,0.242,0.224,0.18784143437456224
12,7.072,1.01,1.459,0.817,0.632,0.143,0.101,0.14281674208144796
13,6.977,1.448,1.583,0.876,0.614,0.307,0.306,0.20753905690124694
14,6.965,1.34,1.474,0.861,0.586,0.273,0.28,0.19239052404881551
15,6.927,1.324,1.483,0.894,0.583,0.188,0.24,0.19113613396852897
16,6.91,1.576,1.52,0.896,0.632,0.196,0.321,0.22807525325615052
17,6.886,1.398,1.471,0.819,0.547,0.291,0.133,0.20302062155097297
18,6.814,1.301,1.559,0.883,0.533,0.354,0.272,0.19093043733489873
19,6.774,2.096,0.776,0.67,0.284,0.186,,0.3094183643342191
20,6.711,1.233,1.489,0.854,0.543,0.064,0.034,0.18372820742065266
21,6.627,1.27,1.525,0.884,0.645,0.376,0.142,0.19164025954428854
22,6.489,1.293,1.466,0.908,0.52,0.098,0.176,0.19926028663892742
23,6.488,1.038,1.252,0.761,0.479,0.069,0.095,0.1599876695437731
24,6.476,1.131,1.331,0.808,0.431,0.197,0.061,0.17464484249536752
25,6.441,1.365,1.436,0.857,0.418,0.151,0.078,0.2119236143455985
26,6.43,1.112,1.438,0.759,0.597,0.125,0.063,0.1729393468118196
27,6.419,0.986,1.474,0.675,0.493,0.11,0.088,0.15360648076024302
28,6.388,1.073,1.468,0.744,0.57,0.062,0.054,0.16797119599248592
29,6.382,0.781,1.268,0.608,0.604,0.179,0.071,0.12237543089940459
30,6.379,1.093,1.459,0.771,0.625,0.13,0.155,0.17134347076344256
31,6.374,1.649,1.303,0.748,0.654,0.256,0.171,0.25870724819579544
32,6.371,1.379,1.331,0.633,0.509,0.098,0.127,0.21644953696436978
33,6.343,1.529,1.451,1.008,0.631,0.261,0.457,0.24105312943402174
34,6.322,1.161,1.258,0.669,0.356,0.311,0.059,0.18364441632394812
35,6.31,1.251,1.538,0.965,0.449,0.142,0.074,0.198256735340729
36,6.26,0.96,1.439,0.635,0.531,0.099,0.039,0.15335463258785942
37,6.192,1.223,1.492,0.564,0.575,0.171,0.019,0.19751291989664083
38,6.173,1.21,1.537,0.776,0.354,0.118,0.014,0.19601490361250606
39,6.167,0.806,1.231,0.639,0.461,0.065,0.082,0.13069563807361764
40,6.141,0.668,1.319,0.7,0.527,0.208,0.128,0.10877707213808827
41,6.123,1.176,1.448,0.781,0.546,0.108,0.064,0.19206271435570796
42,6.105,1.338,1.366,0.698,0.594,0.243,0.123,0.21916461916461916
43,6.096,0.719,1.584,0.605,0.724,0.328,0.259,0.11794619422572178
44,6.083,1.474,1.301,0.675,0.554,0.167,0.106,0.2423146473779385
45,6.072,1.016,1.417,0.707,0.637,0.364,0.029,0.1673254281949934
46,6.0,1.264,1.501,0.946,0.281,0.137,0.028,0.21066666666666667
47,5.973,0.889,1.33,0.736,0.556,0.114,0.12,0.14883643060438642
48,5.956,0.807,1.101,0.474,0.593,0.183,0.089,0.13549361987911349
49,5.952,1.197,1.527,0.716,0.35,0.026,0.006,0.20110887096774194
50,5.948,1.219,1.506,0.856,0.633,0.16,0.051,0.20494283792871554
51,5.945,1.116,1.219,0.726,0.528,0.088,0.001,0.18772077375946175
52,5.933,1.148,1.454,0.671,0.363,0.092,0.066,0.1934940165177819
53,5.915,1.294,1.462,0.988,0.553,0.079,0.15,0.2187658495350803
54,5.891,1.09,1.387,0.684,0.584,0.245,0.05,0.18502800882702428
55,5.89,0.819,1.493,0.693,0.575,0.096,0.031,0.13904923599320881
56,5.875,1.266,1.204,0.955,0.244,0.175,0.051,0.21548936170212765
57,5.835,1.229,1.211,0.909,0.495,0.179,0.154,0.21062553556126823
58,5.81,1.151,1.479,0.599,0.399,0.065,0.025,0.1981067125645439
59,5.79,1.143,1.516,0.631,0.454,0.148,0.121,0.19740932642487047
60,5.762,1.229,1.191,0.909,0.423,0.202,0.035,0.21329399514057623
61,5.752,0.751,1.223,0.508,0.606,0.141,0.054,0.13056328233657857
62,5.739,1.2,1.532,0.737,0.553,0.086,0.174,0.20909566126502874
63,5.681,0.835,1.522,0.615,0.541,0.162,0.074,0.14698116528780145
64,5.663,0.934,1.249,0.674,0.53,0.092,0.034,0.16493024898463712
65,5.662,0.855,1.23,0.578,0.448,0.274,0.023,0.15100671140939598
66,5.64,0.657,1.301,0.62,0.232,0.171,0.0,0.11648936170212768
67,5.636,1.016,1.533,0.517,0.417,0.199,0.037,0.18026969481902058
68,5.62,1.171,1.401,0.732,0.259,0.061,0.022,0.20836298932384342
69,5.566,0.985,1.35,0.553,0.496,0.116,0.148,0.17696730147323034
70,5.524,0.775,1.312,0.513,0.643,0.12,0.105,0.14029688631426504
71,5.504,0.62,1.205,0.622,0.459,0.197,0.074,0.11264534883720931
72,5.483,1.039,1.498,0.7,0.307,0.101,0.154,0.18949480211563013
73,5.483,1.148,1.38,0.686,0.324,0.106,0.109,0.20937443005653839
74,5.472,0.652,0.81,0.424,0.334,0.216,0.113,0.11915204678362573
75,5.43,1.405,1.29,1.03,0.524,0.246,0.291,0.2587476979742173
76,5.41,1.188,1.429,0.884,0.562,0.055,0.017,0.2195933456561922
77,5.398,0.975,1.369,0.685,0.288,0.134,0.043,0.1806224527602816
78,5.358,1.154,1.202,0.879,0.131,0.0,0.044,0.21537887271369913
79,5.358,0.965,1.179,0.785,0.503,0.214,0.136,0.18010451661067564
80,5.347,1.017,1.279,0.729,0.259,0.111,0.081,0.19020011221245556
81,5.321,1.115,1.161,0.737,0.38,0.12,0.039,0.2095470776169893
82,5.302,0.982,1.441,0.614,0.578,0.12,0.106,0.18521312712184082
83,5.295,0.979,1.154,0.687,0.077,0.055,0.135,0.18489140698772427
84,5.254,0.779,0.797,0.669,0.46,0.026,0.074,0.14826798629615534
85,5.246,0.989,1.142,0.799,0.597,0.029,0.103,0.1885245901639344
86,5.201,1.024,1.161,0.603,0.43,0.031,0.176,0.19688521438184967
87,5.199,0.474,1.166,0.598,0.292,0.187,0.034,0.09117137911136756
88,5.185,0.959,1.239,0.691,0.394,0.173,0.052,0.1849566055930569
89,5.161,0.822,1.265,0.645,0.468,0.13,0.134,0.15927145901956985
90,5.155,0.689,1.172,0.048,0.462,0.201,0.032,0.13365664403491753
91,5.131,0.53,1.416,0.594,0.54,0.281,0.035,0.1032937049308127
92,5.129,0.915,1.078,0.758,0.28,0.216,0.0,0.17839734841099633
93,5.125,0.914,1.517,0.575,0.395,0.253,0.032,0.17834146341463417
94,5.103,0.715,1.365,0.702,0.618,0.177,0.079,0.14011365863217715
95,5.093,0.899,1.215,0.522,0.538,0.484,0.018,0.17651678774788926
96,5.082,0.796,1.335,0.527,0.541,0.364,0.171,0.15663124754033847
97,4.982,0.0,0.712,0.115,0.674,0.238,0.282,0.0
98,4.975,0.535,0.891,0.182,0.454,0.183,0.043,0.10753768844221107
99,4.933,1.054,1.515,0.712,0.359,0.064,0.009,0.21366308534360431
100,4.88,0.425,1.228,0.539,0.526,0.302,0.078,0.08709016393442623
101,4.806,0.996,1.469,0.657,0.133,0.056,0.052,0.20724094881398253
102,4.758,1.036,1.164,0.404,0.356,0.032,0.052,0.21773854560739808
103,4.743,0.642,1.217,0.602,0.266,0.086,0.076,0.13535736875395318
104,4.724,0.94,1.41,0.33,0.516,0.103,0.056,0.1989839119390347
105,4.707,1.059,0.771,0.691,0.459,0.282,0.129,0.2249840662842575
106,4.671,0.541,0.872,0.08,0.467,0.146,0.103,0.1158210233354742
107,4.657,0.592,0.896,0.337,0.499,0.212,0.029,0.1271204638179085
108,4.631,0.429,1.117,0.433,0.406,0.138,0.082,0.09263657957244655
109,4.623,0.72,1.034,0.441,0.626,0.23,0.174,0.15574302401038287
110,4.592,0.9,0.906,0.69,0.271,0.04,0.063,0.19599303135888504
111,4.586,0.916,0.817,0.79,0.419,0.149,0.032,0.19973833406018315
112,4.571,0.256,0.813,0.0,0.355,0.238,0.053,0.05600525049223365
113,4.559,0.682,0.811,0.343,0.514,0.091,0.077,0.1495942092564159
114,4.5,0.532,0.85,0.579,0.58,0.153,0.144,0.11822222222222223
115,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0.20532319391634982
116,4.456,1.01,0.971,0.536,0.304,0.148,0.095,0.22666068222621183
117,4.447,0.37,1.233,0.152,0.367,0.139,0.056,0.08320215875871374
118,4.441,0.874,1.281,0.365,0.519,0.051,0.064,0.19680252195451475
119,4.433,0.549,1.088,0.457,0.696,0.256,0.065,0.12384389803744644
120,4.424,0.314,1.097,0.254,0.312,0.175,0.128,0.07097649186256781
121,4.419,0.885,1.025,0.553,0.312,0.092,0.107,0.2002715546503734
122,4.417,0.198,0.902,0.173,0.531,0.206,0.158,0.04482680552411139
123,4.41,0.493,1.048,0.454,0.504,0.352,0.055,0.11179138321995465
124,4.377,0.562,1.047,0.295,0.503,0.221,0.082,0.1283984464244917
125,4.356,0.557,1.245,0.292,0.129,0.134,0.093,0.12786960514233242
126,4.35,0.308,0.95,0.391,0.452,0.22,0.146,0.07080459770114943
127,4.34,0.853,0.592,0.643,0.375,0.038,0.215,0.19654377880184332
128,4.321,0.816,0.99,0.666,0.26,0.077,0.028,0.18884517472807222
129,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.1583101207056639
130,4.301,0.358,0.907,0.053,0.189,0.181,0.06,0.08323645663799116
131,4.245,0.069,1.136,0.204,0.312,0.197,0.052,0.01625441696113074
132,4.19,0.721,0.747,0.485,0.539,0.172,0.093,0.17207637231503578
133,4.166,0.131,0.867,0.221,0.39,0.175,0.099,0.0314450312049928
134,4.161,0.322,1.09,0.237,0.45,0.259,0.061,0.07738524393174719
135,4.141,0.378,0.372,0.24,0.44,0.163,0.067,0.09128229896160348
136,4.139,0.605,1.24,0.312,0.016,0.134,0.082,0.14617057260207778
137,4.103,0.793,1.413,0.609,0.163,0.187,0.011,0.19327321472093592
138,3.999,0.259,0.474,0.253,0.434,0.158,0.101,0.06476619154788697
139,3.964,0.344,0.792,0.211,0.394,0.185,0.094,0.08678102926337032
140,3.808,0.472,1.215,0.079,0.423,0.116,0.112,0.12394957983193278
141,3.795,0.73,1.125,0.269,0.0,0.079,0.061,0.19235836627140976
142,3.774,0.262,0.908,0.402,0.221,0.155,0.049,0.0694223635400106
143,3.692,0.357,1.094,0.248,0.406,0.132,0.099,0.09669555796316359
144,3.632,0.332,0.537,0.255,0.085,0.191,0.036,0.09140969162995595
145,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0.2832869080779944
146,3.587,0.186,0.541,0.306,0.531,0.21,0.08,0.05185391692221912
147,3.582,0.315,0.714,0.289,0.025,0.392,0.104,0.08793969849246232
148,3.495,0.076,0.858,0.267,0.419,0.206,0.03,0.021745350500715306
149,3.462,0.689,0.382,0.539,0.088,0.376,0.144,0.19901790872328132
150,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0.09741784037558686
151,3.355,0.442,1.073,0.343,0.244,0.083,0.064,0.1317436661698957
152,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0.137753557372086
153,3.254,0.337,0.608,0.177,0.112,0.224,0.106,0.10356484326982177
154,3.083,0.024,0.0,0.01,0.305,0.218,0.038,0.007784625364904314
155,2.905,0.091,0.627,0.145,0.065,0.149,0.076,0.03132530120481928
